2025-07-29 18:48:21,417 |    DEBUG | convert_image_to_jpg:225 | JPG 변환 완료: 49,294B → 45,504B (+7.7%) | 원본 형식: None
2025-07-29 18:48:21,421 |     INFO | download_and_convert_image:325 | ✅ JPG 변환 저장: 하남휴게텔-롤리팝쉬멜_02.jpg (45,504B)
2025-07-29 18:48:21,422 |     INFO |             <module>:610 | 이미지 2 다운로드 + 변환 성공
2025-07-29 18:48:21,429 |    DEBUG |             <module>:596 | 이미지 3 처리 시작: https://opstaryo.com/upfile/editor/2506/9598_1751190499.0118.gif
2025-07-29 18:48:21,429 |    DEBUG | download_and_convert_image:241 | 이미지 다운로드 + JPG 변환 시도: https://opstaryo.com/upfile/editor/2506/9598_1751190499.0118.gif
2025-07-29 18:48:21,429 |    DEBUG | download_and_convert_image:245 | 시도 1/3: https://opstaryo.com/upfile/editor/2506/9598_1751190499.0118.gif
2025-07-29 18:48:21,575 |    DEBUG | download_and_convert_image:248 | HTTP 응답 코드: 200
2025-07-29 18:48:21,575 |    DEBUG | download_and_convert_image:252 | Content-Type: image/gif
2025-07-29 18:48:21,619 |    DEBUG | download_and_convert_image:272 | 다운로드 완료: 340104 bytes
2025-07-29 18:48:21,620 |    DEBUG | convert_image_to_jpg:187 | 이미지 변환: 형식=GIF, 크기=(800, 1319), 모드=P
2025-07-29 18:48:21,620 |    DEBUG | convert_image_to_jpg:191 | 애니메이션 GIF 감지, 첫 번째 프레임 추출
2025-07-29 18:48:21,620 |    DEBUG | convert_image_to_jpg:196 | 색상 모드 변환: P → RGB
2025-07-29 18:48:21,669 |    DEBUG | convert_image_to_jpg:225 | JPG 변환 완료: 340,104B → 271,468B (+20.2%) | 원본 형식: None
2025-07-29 18:48:21,671 |     INFO | download_and_convert_image:325 | ✅ JPG 변환 저장: 하남휴게텔-롤리팝쉬멜_03.jpg (271,468B)
2025-07-29 18:48:21,671 |     INFO |             <module>:610 | 이미지 3 다운로드 + 변환 성공
2025-07-29 18:48:21,677 |    DEBUG |             <module>:596 | 이미지 4 처리 시작: https://opstaryo.com/upfile/editor/2502/7403_1739603685.2109.gif
2025-07-29 18:48:21,677 |    DEBUG | download_and_convert_image:241 | 이미지 다운로드 + JPG 변환 시도: https://opstaryo.com/upfile/editor/2502/7403_1739603685.2109.gif
2025-07-29 18:48:21,677 |    DEBUG | download_and_convert_image:245 | 시도 1/3: https://opstaryo.com/upfile/editor/2502/7403_1739603685.2109.gif
2025-07-29 18:48:21,807 |    DEBUG | download_and_convert_image:248 | HTTP 응답 코드: 200
2025-07-29 18:48:21,807 |    DEBUG | download_and_convert_image:252 | Content-Type: image/gif
2025-07-29 18:48:22,015 |    DEBUG | download_and_convert_image:272 | 다운로드 완료: 2333157 bytes
2025-07-29 18:48:22,015 |    DEBUG | convert_image_to_jpg:187 | 이미지 변환: 형식=GIF, 크기=(800, 707), 모드=P
2025-07-29 18:48:22,016 |    DEBUG | convert_image_to_jpg:191 | 애니메이션 GIF 감지, 첫 번째 프레임 추출
2025-07-29 18:48:22,016 |    DEBUG | convert_image_to_jpg:196 | 색상 모드 변환: P → RGB
2025-07-29 18:48:22,042 |    DEBUG | convert_image_to_jpg:225 | JPG 변환 완료: 2,333,157B → 146,957B (+93.7%) | 원본 형식: None
2025-07-29 18:48:22,044 |     INFO | download_and_convert_image:325 | ✅ JPG 변환 저장: 하남휴게텔-롤리팝쉬멜_04.jpg (146,957B)
2025-07-29 18:48:22,044 |     INFO |             <module>:610 | 이미지 4 다운로드 + 변환 성공
2025-07-29 18:48:22,051 |    DEBUG |             <module>:596 | 이미지 5 처리 시작: https://opstaryo.com/upfile/editor/2502/2751_1739603692.3945.gif
